#"Step","Potential Energy (kJ/mole)","Temperature (K)"
5000,0.0,40.66150257042407
10000,0.0,57.81527314803487
15000,0.0,91.78061615484606
20000,0.0,327.29738312729705
25000,0.0,553.9397995628195
30000,0.0,244.06899350232263
35000,0.0,93.29341158854079
40000,0.0,265.36313480214466
45000,0.0,385.1154765695576
50000,0.0,228.87523981874156
55000,0.0,178.26155200724074
60000,0.0,1002.2442120082218
65000,0.0,417.6468567957908
70000,0.0,279.11470041410973
75000,0.0,160.4991528237861
80000,0.0,264.6017815833195
85000,0.0,169.0310048409243
90000,0.0,307.6688050340004
95000,0.0,332.84723488535667
100000,0.0,383.38862463117744
105000,0.0,103.37401884465768
110000,0.0,357.73076161925275
115000,0.0,380.7370151783638
120000,0.0,64.58913571258351
125000,0.0,573.5013996954385
130000,0.0,409.3753806325519
135000,0.0,318.98593972292485
140000,0.0,239.681546284098
145000,0.0,261.81181568069314
150000,0.0,689.2295395222765
155000,0.0,225.39605594343072
160000,0.0,399.4305768754319
165000,0.0,223.2768736672888
170000,0.0,248.33946139359603
175000,0.0,220.21815370604463
180000,0.0,187.5551758766095
185000,0.0,1277.7299241005026
190000,0.0,753.7369927056853
195000,0.0,1296.6194426227771
200000,0.0,303.7929751417857
205000,0.0,482.3138435692841
210000,0.0,123.71849299306089
215000,0.0,9.53439186427014
220000,0.0,197.33742503914155
225000,0.0,337.90530934653754
230000,0.0,546.1832887499637
235000,0.0,174.01297725721963
240000,0.0,23.78259960554543
245000,0.0,473.4374602219144
250000,0.0,1288.9128912551191
255000,0.0,62.00069874928245
260000,0.0,624.9727523327164
265000,0.0,78.44227784810549
270000,0.0,190.61361538509968
275000,0.0,249.94663275614027
280000,0.0,259.6714244365939
285000,0.0,68.3344393218338
290000,0.0,174.4745590252681
295000,0.0,384.1085147600817
300000,0.0,512.9643443768499
305000,0.0,171.34803212860996
310000,0.0,45.17156955743047
315000,0.0,485.5752567205328
320000,0.0,135.310283647108
325000,0.0,324.06288952137675
330000,0.0,353.73354034061185
335000,0.0,129.84422707270656
340000,0.0,111.90725397652336
345000,0.0,241.26895108576653
350000,0.0,128.01348156241087
355000,0.0,629.0804170154415
360000,0.0,297.7361038930258
365000,0.0,148.90610777246602
370000,0.0,291.48420740696844
375000,0.0,168.7883738610198
380000,0.0,137.68910629873085
385000,0.0,63.7966483780521
390000,0.0,128.50853500117583
395000,0.0,284.54681737886665
400000,0.0,612.3911890157774
405000,0.0,101.53161546557693
410000,0.0,444.4617511303343
415000,0.0,143.9339752989007
420000,0.0,544.6360611730763
425000,0.0,424.35344750682503
430000,0.0,423.321439237007
435000,0.0,226.87595158790546
440000,0.0,31.095844822575803
445000,0.0,233.1141307267322
450000,0.0,1903.4456264372889
455000,0.0,14.386514235837927
460000,0.0,192.54702503669913
465000,0.0,464.3942227059225
470000,0.0,168.8957350102246
475000,0.0,390.2853414245139
480000,0.0,362.49063496872805
485000,0.0,686.0785121095435
490000,0.0,189.2206005919909
495000,0.0,466.02132500511755
500000,0.0,304.623013287326
505000,0.0,369.53127816538284
510000,0.0,269.5106048173878
515000,0.0,454.67174812005226
520000,0.0,428.4032283318933
525000,0.0,607.4958895209378
530000,0.0,44.06229728983891
535000,0.0,899.784992815983
540000,0.0,83.03855621808678
545000,0.0,188.60685844560035
550000,0.0,396.44446311570437
555000,0.0,484.81823587124165
560000,0.0,273.6375699448589
565000,0.0,455.766923459105
570000,0.0,418.9874680392576
575000,0.0,631.0781664036532
580000,0.0,713.2175424478413
585000,0.0,165.35909931536628
590000,0.0,94.65191386821755
595000,0.0,316.5781554439685
600000,0.0,803.3437929903257
605000,0.0,44.206386090060555
610000,0.0,163.26363419949112
615000,0.0,210.5642784927602
620000,0.0,153.1215682312652
625000,0.0,335.37810523103946
630000,0.0,173.04491057285207
635000,0.0,38.702891827373485
640000,0.0,3.361335471144023
645000,0.0,13.423278923591857
650000,0.0,285.87307921012547
655000,0.0,368.68263246205095
660000,0.0,784.8667662956557
665000,0.0,78.14469797103497
670000,0.0,273.2168037869198
675000,0.0,210.49277198009827
680000,0.0,652.9079987181027
685000,0.0,161.38515490223097
690000,0.0,509.37827989808403
695000,0.0,582.6827006248385
700000,0.0,906.2373719580849
705000,0.0,72.9653995886763
710000,0.0,302.3469598560153
715000,0.0,967.5500772271223
720000,0.0,577.8204180795188
725000,0.0,78.66844998365153
730000,0.0,206.8094240147542
735000,0.0,24.526016447318305
740000,0.0,126.15166263044422
745000,0.0,373.1382494048371
750000,0.0,584.7545100084058
755000,0.0,39.92389897884811
760000,0.0,57.304839410322124
765000,0.0,179.4780196184881
770000,0.0,326.92314315341196
775000,0.0,84.41118186142971
780000,0.0,132.5313040177656
785000,0.0,132.76921685327417
790000,0.0,569.025460211711
795000,0.0,407.5034578644792
800000,0.0,809.9885301712565
805000,0.0,107.66506165226305
810000,0.0,367.74353304208825
815000,0.0,305.01868822164766
820000,0.0,56.30056415239021
825000,0.0,224.37944676969738
830000,0.0,164.51421176478377
835000,0.0,100.77170355318049
840000,0.0,8.956844374895255
845000,0.0,128.84462073537486
850000,0.0,364.1575954833235
855000,0.0,29.124756391359664
860000,0.0,96.87150699559703
865000,0.0,351.06373952654997
870000,0.0,551.7038186338357
875000,0.0,338.161126907555
880000,0.0,271.8705055683166
885000,0.0,111.17940557774295
890000,0.0,63.743953451353306
895000,0.0,23.740656236335067
900000,0.0,140.41951604948184
905000,0.0,180.79407003615256
910000,0.0,51.12864996151975
915000,0.0,299.4249012840224
920000,0.0,116.50972984636492
925000,0.0,572.8557702728897
930000,0.0,751.0689857760606
935000,0.0,350.9230520804278
940000,0.0,139.51173881489424
945000,0.0,75.58005130442896
950000,0.0,292.63691249809284
955000,0.0,318.91848021426864
960000,0.0,74.46361639954627
965000,0.0,388.1480213244555
970000,0.0,11.496773142957217
975000,0.0,251.4954020946199
980000,0.0,42.00527285718525
985000,0.0,347.9622576100748
990000,0.0,171.30124176717675
995000,0.0,149.83946663938096
1000000,0.0,230.0038097793165
1005000,0.0,1542.575360504978
1010000,0.0,66.78350382304205
1015000,0.0,68.16440024579069
1020000,0.0,60.17903989121391
1025000,0.0,282.74655969894934
1030000,0.0,563.7011128033149
1035000,0.0,85.04835234677303
1040000,0.0,284.0819855262877
1045000,0.0,461.2102531617287
1050000,0.0,168.78502507537843
1055000,0.0,302.6235420987591
1060000,0.0,531.0243613317294
1065000,0.0,669.6387078762504
1070000,0.0,184.43330561453462
1075000,0.0,223.22115353734222
1080000,0.0,534.5292409037963
1085000,0.0,272.85136539714705
1090000,0.0,419.65084995727915
1095000,0.0,156.42522707581705
1100000,0.0,18.699298088044547
1105000,0.0,40.186309636937885
1110000,0.0,86.78464418573878
1115000,0.0,463.8963539432043
1120000,0.0,148.56463078457318
1125000,0.0,25.90516116481998
1130000,0.0,7.673524391185222
1135000,0.0,167.93470730161053
1140000,0.0,9.965827628092882
1145000,0.0,87.1443755086346
1150000,0.0,162.73300291636937
1155000,0.0,381.28563734981657
1160000,0.0,64.87420754245096
