#"Step","Potential Energy (kJ/mole)","Temperature (K)"
5000,-389956.12439149775,330.11286743581036
10000,-390742.3824142468,328.14952091491057
15000,-391372.52758304216,332.46291674571165
20000,-391518.4969063948,326.81798268241243
25000,-391623.3996406362,326.8351557710783
30000,-392163.3862599118,324.60247990657325
35000,-392134.2471181893,336.38344467927664
40000,-392247.9069146775,314.9985858264509
45000,-392285.12543590355,336.5383057907292
50000,-392166.0751504466,320.80743518537304
55000,-392316.4404432385,333.2583125304457
60000,-392314.7134074262,328.7764107207639
65000,-392525.28442391695,323.6864306198478
70000,-392330.1307865002,322.87190906487916
75000,-392474.39453104464,325.03180263432864
80000,-392650.9233823107,336.08732487262535
85000,-392514.5500342468,326.5820727744383
90000,-392717.8902123636,334.8540765879841
95000,-392317.47337249224,322.36461350414845
100000,-392387.95074702404,327.05879695468843
105000,-392424.0896654044,330.9347331062245
110000,-392459.60927277035,326.64046213345796
115000,-392593.12647495256,322.065333136424
120000,-392714.84650266776,326.2925357424737
125000,-392684.9659159625,334.0540974853982
130000,-392731.387714471,319.92754225210825
135000,-392939.24058419105,324.48802111686604
140000,-392792.54506061354,330.0543501674573
145000,-392672.4498923683,328.7564507414385
150000,-392884.9643883499,327.7526738695008
155000,-392976.97228621587,321.2257921286825
160000,-393004.7113511285,324.21941852122353
165000,-392800.5382401212,328.1927761477194
170000,-392911.5980588972,312.8890970138841
175000,-392935.47553517175,320.72880182898604
180000,-392755.30835232534,335.3274720244277
185000,-392943.33602282015,320.8521644591081
190000,-392755.1943125363,334.9200865418086
195000,-392762.6741282597,314.6857745520392
200000,-392882.2410922266,334.50889872952723
205000,-392679.61457947275,321.23957309929796
210000,-393068.5494222905,319.8592469863318
215000,-392414.2058126611,317.3229305743107
220000,-392949.80063319416,345.13163628276595
225000,-392650.29101078666,317.43886190754165
230000,-392604.77148763847,320.5687906425555
235000,-392836.0548270196,339.32307343363846
240000,-392702.74074190226,330.1813955180035
245000,-392949.2747525103,330.03452199340614
250000,-392951.97273708304,320.3146433630274
255000,-392843.14910459187,316.6912162910573
260000,-393123.93963072775,330.94591919755106
265000,-392905.0108283991,326.8816379387294
270000,-392801.76755453635,330.31405097020985
275000,-393169.3798661983,315.9138727529422
280000,-393275.94070726575,327.0270457610432
285000,-393216.53446866677,323.9536708512431
290000,-393088.7433968213,334.9888008626905
295000,-392960.340003421,340.53824095564113
300000,-393173.2544203787,332.59554036290905
305000,-393359.2091745062,330.7469119602486
310000,-393009.3635839098,341.2415599210293
315000,-393581.00648210745,321.34776331173765
320000,-393396.7753912939,321.6513975507135
325000,-393451.21813275455,334.3853843884796
330000,-393097.61627910135,330.09850355794987
335000,-393243.50812289724,325.92340620952007
340000,-393117.0198605857,318.90460811219504
345000,-393314.3286689959,333.4343785496603
350000,-393417.1113094549,324.11142582974935
355000,-393344.4499717036,315.05332738949687
360000,-393264.79851087014,321.0415536284963
365000,-393131.30840359186,328.9176281256833
370000,-393290.02816818573,330.728263800219
375000,-393509.1822145558,335.4612303274149
380000,-393354.8844113753,315.61241087429954
385000,-393642.5775665749,333.46409422474835
390000,-393171.9605578121,329.56920196488966
395000,-393084.9929863099,327.52358394871834
400000,-393284.43976788875,326.33903209257534
405000,-393642.8924341296,335.69184491092204
410000,-393102.83881797176,322.110724507996
415000,-393267.7863697832,319.3341814067035
420000,-393750.51786797715,333.24756728584134
425000,-393594.1475462267,326.10560443745004
430000,-393620.3540770889,333.84856364720383
435000,-393559.37122990226,334.6012630677202
440000,-393530.948737404,320.0379536854687
445000,-393604.3005119248,329.47176186697527
450000,-393482.6801697355,324.1414883222414
455000,-393594.2097780728,326.3071067600482
460000,-393639.35406445037,310.945348144152
465000,-393458.22491298243,320.27799406496547
470000,-393459.3087931904,313.12292405000755
475000,-393539.2911673793,312.22800110039356
480000,-393405.0680217232,323.97507629901395
485000,-393907.9703173901,326.81572317649335
490000,-393275.0308408687,330.7889575504275
495000,-393391.0744884743,312.65310540891613
500000,-393803.43970967626,332.37399292839655
505000,-393625.63672391546,330.44508382146273
510000,-393461.5308397026,325.9057822932298
515000,-393317.13485936064,331.6704243851676
520000,-393531.04778204334,329.93780472572666
525000,-393331.8664586261,321.606148320457
530000,-393557.3393715616,321.31064054794103
535000,-393615.3988043273,314.53137219415464
540000,-393617.2836842679,323.18978919775543
545000,-393434.83924819116,319.81335592537516
550000,-393440.27707911993,319.53934527134317
555000,-393682.63686720235,330.80958518719854
560000,-393660.97553798056,320.00068102894613
565000,-393765.97109478654,327.1764926724986
570000,-393639.9105358885,324.2596931681737
575000,-393711.72751792107,318.4197579794154
580000,-393655.7401483983,324.8045648614069
585000,-393552.80620658904,324.4353108270882
590000,-393652.27073011245,318.5067318189921
595000,-393834.73131958465,337.70401410981225
600000,-393685.0776653409,321.2909355475516
605000,-393829.7605159207,326.031683513193
610000,-393843.1177968596,325.26612213767436
615000,-393710.10533066187,319.04684247264737
620000,-394192.4031555528,329.73127855891715
625000,-393868.6638214048,316.5492873283181
630000,-393693.6894454733,329.7354819647239
635000,-393843.75490329205,318.56616819384817
640000,-393533.3195447709,326.52613032189214
645000,-393700.00682229444,319.5752571593603
650000,-393742.2138548974,335.64415799187054
655000,-393421.3875042864,323.6809676350654
660000,-393936.471209126,319.06225242823814
665000,-393628.6891359346,322.29177259579194
670000,-393839.46389758145,328.5980233331809
675000,-394039.3804072838,331.8007302823649
680000,-393720.04604646703,322.6384807699362
685000,-393864.74996395677,326.34121425459773
690000,-394338.5008345541,329.7198743012993
695000,-393864.95927371667,328.2370202425367
700000,-393962.0504212523,329.8417045428848
705000,-394033.151610406,321.76668066801244
710000,-394009.1918084085,319.32928946725883
715000,-393864.80957316386,319.6298770455937
720000,-394167.9627338385,312.41732240300837
725000,-393977.14235077036,332.8778977654226
730000,-394257.6146689936,318.76862419776194
735000,-393888.01165115286,327.61933479606034
740000,-394027.86152434617,329.3137263331087
745000,-394193.9371649752,326.29318967675056
750000,-393889.92077902716,334.86862752463855
755000,-393962.411872791,325.7986532599429
760000,-394096.09051907645,318.2593136936912
765000,-393967.747248387,335.8029996051269
770000,-393900.1324228413,333.44227696900975
775000,-394111.14652307075,339.71487625458116
780000,-393899.16714056407,324.7500332171243
785000,-394213.01055604476,330.78606343467123
790000,-394165.1658852889,339.02523392031645
795000,-393842.69598464936,335.0282534899148
800000,-394095.51778985176,325.96051558869834
805000,-393806.5097847866,328.7962176617502
810000,-393873.1321033298,331.08953730522126
815000,-394168.48429900885,322.28056102182944
820000,-394065.88686663506,324.2187560215643
825000,-394123.88849592104,335.0060102661059
830000,-394105.94109081296,332.75705427063235
835000,-393849.0498720758,338.89204985058217
840000,-393923.68235556956,331.7598257740652
845000,-394111.9081044548,331.04720741573885
850000,-393950.2002651776,321.05618985581884
855000,-394282.715431529,326.6388412584154
860000,-394160.51699945633,333.6444698403358
865000,-393767.76797539537,327.78426049512547
870000,-394111.0988862279,332.908112957538
875000,-394274.4868967082,324.7226631643591
880000,-394242.99376496405,321.31134247213936
885000,-394025.89335999195,334.4114093031488
890000,-393828.90606768406,327.7423040441547
895000,-394035.0880136022,326.9487944850403
900000,-394005.55670655065,326.0202723095626
905000,-394111.84996863134,326.3422683006447
910000,-394300.09719157015,307.9287572350092
915000,-393854.95504082367,323.32420609593345
920000,-393615.07186631445,327.70189334795987
925000,-393915.3137844301,331.66955836252146
930000,-394038.02718239825,333.42741215420756
935000,-393989.862414609,327.4735550256458
940000,-394003.46821042866,324.4061628266244
945000,-394068.084833713,320.38297726484535
950000,-394068.5576065127,330.3658178462441
955000,-394020.43861590663,319.88297914747744
960000,-394510.5700530767,325.2206480332333
965000,-393881.95906358375,327.8092318413179
970000,-394129.2599094857,320.76943238895586
975000,-394060.21902942227,330.00258096416195
980000,-393835.7684700936,323.47123262461463
985000,-393871.54332830565,318.94956133649885
990000,-393887.3666635254,314.2726162492208
995000,-393854.77649684815,334.8776536808749
1000000,-393930.6094722821,318.8513843663231
1005000,-393756.78078507347,325.3507460044814
1010000,-393917.9293982,331.02543171919183
1015000,-394253.0816888497,323.88306131375873
1020000,-394172.78773331735,332.6938839739442
1025000,-393787.9015326907,336.9640141145898
1030000,-394015.65099329106,326.2783710142467
1035000,-393909.24600912223,325.3944699865703
1040000,-394064.5983676371,317.24732793496554
1045000,-394044.373011049,326.6187149321416
1050000,-393970.86149020214,325.0832698804769
1055000,-393831.24163612956,325.0802361456174
1060000,-394006.9550848187,338.4946180665383
1065000,-394051.5092072814,321.7173775666649
1070000,-394037.0990283084,324.0607196301051
1075000,-394019.6899313604,326.0269815237695
1080000,-394137.9793939777,332.36510160734343
1085000,-393966.928763738,324.4725605653856
1090000,-393915.78811451374,322.1978397676444
1095000,-394002.4734211038,319.3083340144963
1100000,-394043.4079535431,328.76627432179
1105000,-393892.576459834,326.21952160902805
1110000,-394062.0654231962,324.03860698067814
1115000,-393924.6173857087,334.3347955536997
1120000,-394162.9354057816,326.9997783016701
1125000,-393903.5371564742,323.9492446197102
1130000,-393978.9874255496,327.55321232899615
1135000,-394152.55950543395,324.79917204394854
1140000,-394165.62493301125,317.7945679444013
1145000,-394056.700516839,327.9354096023999
1150000,-394061.4803808066,325.6005786157212
1155000,-394324.25968885847,323.96292140097995
1160000,-394215.1572322281,335.5099235981472
1165000,-394047.6113962224,328.79485884741047
1170000,-393934.99290403724,324.26130709512995
